measurement,label,wavelength / nm,d / um,d / σ_B,d / σ_B err,orientation,sigma_B / um,sigma_B_err / %,sigma_B_err / um,xi / um,xi std / um,ξ_std / %,ξ/σ_B,,ξ/σ_err / %,ξ/σ_err,zeta,,,,,of averaged image,
26T2300_18nm_L,18nm vertical L,18,215,0.3094,0.0402,vertical,695,13%,90,819.96,73.8,9%,1.180,,22%,0.260,0.599437374,,,,,811.32,
26T2300_18nm_L,18nm horizontal L,18,215,0.2535,0.0101,horizontal,848,4%,34,997.08,56.51,6%,1.176,,10%,0.114,0.595903422,,,,,1045.19,
26T2300_18nm_L,18nm vertical L,18,890,1.2806,0.1665,vertical,695,13%,90,842.83,67.21,8%,1.213,,21%,0.254,0.628768473,,,,,1265.04,
26T2300_18nm_L,18nm horizontal L,18,890,1.0495,0.0420,horizontal,848,4%,34,922.51,36.87,4%,1.088,,8%,0.087,0.519805585,,,,,277.37,
26T2300_18nm_S,18nm vertical S,18,215,0.4977,0.0398,vertical,432,8%,35,745.36,61.87,8%,1.725,,16%,0.281,1.127024433,,,,,867.87,
26T2300_18nm_S,18nm horizontal S,18,215,0.5628,0.0281,horizontal,382,5%,19,805.12,57.88,7%,2.108,,12%,0.257,1.528859704,,,,,769.44,
26T2300_18nm_S,18nm vertical S,18,322,0.7454,0.0596,vertical,432,8%,35,577.03,61.14,11%,1.336,,19%,0.248,0.741839302,,,,,566.59,
26T2300_18nm_S,18nm horizontal S,18,322,0.8429,0.0421,horizontal,382,5%,19,673.18,51.85,8%,1.762,,13%,0.224,1.165030928,,,,,546.68,
26T2300_18nm_S,18nm vertical S,18,445,1.0301,0.0824,vertical,432,8%,35,624.19,69.89,11%,1.445,,19%,0.277,0.846135344,,,,,573.69,
26T2300_18nm_S,18nm horizontal S,18,445,1.1649,0.0582,horizontal,382,5%,19,860.31,73.55,9%,2.252,,14%,0.305,1.683955402,,,,,741.61,
26T2300_18nm_S,18nm vertical S,18,707,1.6366,0.1309,vertical,432,8%,35,,,,,,,,,,,,,,
26T2300_18nm_S,18nm horizontal S,18,707,1.8508,0.0925,horizontal,382,5%,19,,,,,,,,,,,,,,
27T1529_8nm_S,8nm vertical S,8,215,0.5780,0.0173,vertical,372,3%,11,423.4,25.36,6%,1.138,,9%,0.102,0.562943725,,,,,374.68,
27T1529_8nm_S,8nm horizontal S,8,215,0.6342,0.0190,horizontal,339,3%,10,603.82,6.25,1%,1.781,,4%,0.072,1.184614994,,,,,476.16,
27T1529_8nm_S,8nm vertical S,8,322,0.8656,0.0260,vertical,372,3%,11,381.31,18.54,5%,1.025,,8%,0.081,0.467515031,,,,,339.59,
29T1007_13p5nm_L,13.5nm vertical L,13.5,707,1.3649,0.0819,vertical,518,6%,31,,,,,,6%,0.000,0,,of averaged image,,,544,no corresponding backgrounds to compare positions with
29T1007_13p5nm_L,13.5nm horizontal L,13.5,707,0.7953,0.0318,horizontal,889,4%,36,,,,,,4%,0.000,0,,of averaged image,,,588.6,no corresponding backgrounds to compare positions with
29T1007_13p5nm_S,13.5nm vertical S,13.5,107,0.2616,0.0262,vertical,409,10%,41,642.81,41.51,6%,1.572,,16%,0.259,0.971096422,,,,,209.04,
29T1007_13p5nm_S,13.5nm horizontal S,13.5,445,1.0988,0.0549,horizontal,405,5%,20,624.63,44.33,7%,1.542,,12%,0.187,0.941825178,,,,,507.08,
,,,,,,,,,,,,,,,,,,,,,,,
